Sno,State / Union Territory,Population,Rural population,Urban population,Gender Ratio
1,Uttar Pradesh,199812341,155317278,44495063,912
2,Maharashtra,112374333,61556074,50818259,929
3,Bihar,104099452,92341436,11758016,918
4,West Bengal,91276115,62183113,               2909g3002,953
5,Madhya Pradesh,72626809,52557404,20069405,931
6,Tamil Nadu,72147030,37229590,34917440,996
7,Rajasthan,68548437,51500352,17048085,928
8,Karnataka,61095297,37469335,23625962,973
9,Gujarat,6043b9692,34694609,25745083,919
10,Andhra Pradesh,49577103,34966693,14610410,993
11,Odisha,41974218,34970562,7003656,979
12,Telengana,35003674,21395009,13608665,988
13,Kerala,33406061,17471135,15934926,1084
14,Jharkhand,              3298813a4,25055073,7933061,948
15,Assam,31205576,26807034,4398542,954
16,Punjab,27743338,17344192,10399146,895
17,Chhattisgarh,25545198,19607961,5937237,991
18,Haryana,25351462,16509359,8842103,879
19,Uttarakhand,10086292,7036954,3049338,963
20,Himachal Pradesh,6864602,6176050,688552,972
21,Tripura,3673917,2712464,961453,960
22,Meghalaya,2966889,               2371b439,595450,989
23,Manipur,2570390,1793875,776515,992
24,Nagaland,1978502,1407536,570966,931
25,Goa,1458545,551731,906814,973
26,Arunachal Pradesh,1383727,1066358,                  317m369,938
27,Mizoram,1097206,525435,571771,976
28,Sikkim,610577,456999,153578,890
29,Delhi,               167879t41,419042,16368899,868
30,Jammu and Kashmir,              1226d7032,9064220,3202812,890
31,Puducherry,1247953,395200,852753,1037
32,Chandigarh,1055450,28991,1026459,818
33,Dadra and Nagar Haveli and Daman and Diu,585764,243510,342254,711
34,Andaman and Nicobar Islands,380581,237093,143488,876
35,Ladakh,274000,43840,230160,853
36,Lakshadweep,64473,14141,                          c,946
